Year,Winter,Pre-Monsoon,Monsoon,Post-Monsoon
1901,70.5999984741211,107.9000015258789,748.7999877929688,99.9000015258789
1902,11.5,110.69999694824219,795.2999877929688,117
1903,25.299999237060547,107.0999984741211,881.0999755859375,178.6999969482422
1904,24.799999237060547,137.5,760.5,96.5
1905,46,130,722.7000122070312,73.9000015258789
1906,71.9000015258789,84.30000305175781,895.0999755859375,95.19999694824219
1907,61.79999923706055,132.3000030517578,781.9000244140625,59.400001525878906
1908,38.5,85.9000015258789,919,54.79999923706055
1909,41.20000076293945,122,911.7000122070312,77.5999984741211
1910,26.600000381469727,83.69999694824219,934.2999877929688,149.3000030517578
1911,50.79999923706055,118.9000015258789,748.4000244140625,127.0999984741211
1912,44.099998474121094,103.5,819,115.19999694824219
1913,46.900001525878906,123.4000015258789,785,110.5
1914,35.5,141.6999969482422,945.9000244140625,93.4000015258789
1915,62.099998474121094,142.3000030517578,789.4000244140625,144.39999389648438
1916,27.600000381469727,107.80000305175781,1018,188.8000030517578
1917,47.20000076293945,139.6999969482422,1099.9000244140625,202
1918,16.600000381469727,182.3000030517578,755.4000244140625,80.5999984741211
1919,72.80000305175781,113.19999694824219,957.5999755859375,160.8000030517578
1920,48.29999923706055,149.1999969482422,776.7999877929688,73.69999694824219
1921,48.79999923706055,110.0999984741211,971.4000244140625,104.69999694824219
1922,40.20000076293945,94.4000015258789,948.7999877929688,132.39999389648438
1923,65.9000015258789,114.69999694824219,895.0999755859375,94.19999694824219
1924,47.20000076293945,108.69999694824219,962.7000122070312,139.10000610351562
1925,26.5,160.6999969482422,889.5,125.9000015258789
1926,40.5,159.39999389648438,967.2999877929688,78.5999984741211
1927,50.70000076293945,111.9000015258789,959.0999755859375,138.8000030517578
1928,64.9000015258789,109.80000305175781,863.7999877929688,177.8000030517578
1929,50.400001525878906,135.89999389648438,862.7999877929688,155.60000610351562
1930,48.599998474121094,134.10000610351562,860.5,159.89999389648438
1931,48.599998474121094,115.80000305175781,953,184.10000610351562
1932,34.599998474121094,139,897.4000244140625,145.3000030517578
1933,48.900001525878906,179.1999969482422,1030.199951171875,131
1934,36.599998474121094,112.5,963.7999877929688,109
1935,51.599998474121094,101.0999984741211,912.2999877929688,78.80000305175781
1936,56.79999923706055,155.8000030517578,975.5,145.6999969482422
1937,59.900001525878906,133.5,886.2000122070312,136.60000610351562
1938,64.30000305175781,138.10000610351562,998.5,97.5999984741211
1939,48.5,114.0999984741211,833.4000244140625,123.0999984741211
1940,41.20000076293945,157.60000610351562,891.5999755859375,121.5
1941,40.599998474121094,129.8000030517578,798.5999755859375,108.80000305175781
1942,67.9000015258789,131.60000610351562,1009.2000122070312,77.4000015258789
1943,67.5999984741211,175.10000610351562,923.2000122070312,111.19999694824219
1944,68.9000015258789,150.10000610351562,955.2999877929688,137.89999389648438
1945,44.20000076293945,119.5999984741211,951.4000244140625,102.9000015258789
1946,23.200000762939453,143,972.5,193.89999389648438
1947,40.900001525878906,119.69999694824219,974.5,98.80000305175781
1948,54.20000076293945,171.39999389648438,967,141.60000610351562
1949,41.599998474121094,165,947,110.19999694824219
1950,61.20000076293945,115.0999984741211,904.5,93
1951,28,157.8000030517578,754.2000122070312,110.19999694824219
1952,30.5,137.6999969482422,822.9000244140625,110.5
1953,40.900001525878906,109.30000305175781,961.5,105.9000015258789
1954,75.0999984741211,92.9000015258789,912.5,91.19999694824219
1955,26.399999618530273,127.80000305175781,947.9000244140625,186.3000030517578
1956,30.700000762939453,145.60000610351562,998.5999755859375,210.39999389648438
1957,57.099998474121094,142.39999389648438,864.5,107.69999694824219
1958,32,135,990.4000244140625,160.89999389648438
1959,55.900001525878906,122.4000015258789,1043.4000244140625,150.60000610351562
1960,16.5,111.5999984741211,908.0999755859375,110.30000305175781
1961,60.900001525878906,132.10000610351562,1051.0999755859375,152.89999389648438
1962,33.70000076293945,129.1999969482422,902.5999755859375,126.5999984741211
1963,15.899999618530273,149.6999969482422,906.7000122070312,142.3000030517578
1964,29.799999237060547,110.30000305175781,991.9000244140625,101.5999984741211
1965,36.5,120.5999984741211,707.0999755859375,73.19999694824219
1966,36.79999923706055,109.30000305175781,791.9000244140625,125.0999984741211
1967,24.799999237060547,134.1999969482422,882.7999877929688,106.80000305175781
1968,46.20000076293945,106,799.2000122070312,100.19999694824219
1969,25.799999237060547,121.5999984741211,901.5999755859375,103.69999694824219
1970,51,125.4000015258789,1000.0999755859375,93.30000305175781
1971,38.400001525878906,138.5,913,127.4000015258789
1972,36.20000076293945,113.5999984741211,674.5,119.80000305175781
1973,38.099998474121094,102.9000015258789,924.0999755859375,150.1999969482422
1974,25.600000381469727,115.5,778,122.5999984741211
1975,33.79999923706055,104.9000015258789,998,147.6999969482422
1976,34.79999923706055,105.5999984741211,885.2000122070312,94.5
1977,30.200000762939453,165.39999389648438,898.0999755859375,166.89999389648438
1978,38.900001525878906,136.5,939.7000122070312,117.5
1979,56.099998474121094,105.4000015258789,723.2999877929688,142.5
1980,35.20000076293945,120.5,934.5999755859375,92.9000015258789
1981,49,149.89999389648438,885.0999755859375,86.69999694824219
1982,49,155.89999389648438,769.2000122070312,111.0999984741211
1983,42.400001525878906,172.3000030517578,990.2000122070312,119.0999984741211
